Brand,Model,Battery_Life_Minutes,Charging_Time_Hours,Dustbin_Capacity_ml,Suction_Power_Pa,Noise_Level_dB,WiFi_Connectivity,App_Control,Voice_Control,Mapping_Technology,Obstacle_Avoidance,HEPA_Filter,Auto_Dock,Runtime_Adjustment,Carpet_Boost,Number_of_Sensors,Weight_kg,Height_cm,Smart_Scheduling,Multi_Floor_Mapping,Mop_Function,Self_Emptying,Price_USD
Eufy,Eufy S37,149,3.9,367,2013,59,No,Yes,No,Lidar+Camera,Yes,No,Yes,No,No,12,4.7,7.3,No,Yes,Yes,No,390
Xiaomi,Xiaomi V48 Max,163,4.4,410,1537,64,No,Yes,Yes,Camera,Yes,Yes,No,Yes,Yes,10,3.7,10.9,No,Yes,Yes,No,616
Neato,Neato X22 Pro,60,2.6,665,3413,58,No,No,Yes,Infrared,Yes,Yes,Yes,No,No,10,2.6,11.0,Yes,No,No,Yes,682
Dreame,Dreame V34 Pro,65,4.2,651,2188,61,No,No,Yes,Lidar+Camera,Yes,Yes,Yes,Yes,Yes,15,3.4,10.3,Yes,No,Yes,Yes,920
Neato,Neato S42 Ultra,98,5.1,483,4608,69,Yes,Yes,No,Camera,No,No,No,Yes,Yes,6,3.2,8.2,Yes,Yes,Yes,No,578
Samsung,Samsung X36 Pro,91,4.2,428,1694,57,Yes,Yes,Yes,Camera,No,Yes,Yes,No,Yes,17,3.5,9.9,Yes,Yes,No,No,389
Proscenic,Proscenic R81 Ultra,171,4.8,633,4772,59,Yes,Yes,No,Infrared,No,Yes,Yes,No,Yes,20,4.3,8.5,No,Yes,Yes,No,1150
Roborock,Roborock R24 Pro,67,4.6,571,4364,60,No,Yes,Yes,Infrared,No,No,Yes,No,No,17,5.4,9.0,No,No,No,Yes,428
Dreame,Dreame S17 Pro,77,5.8,417,3230,64,No,No,Yes,Camera,No,No,No,No,Yes,11,4.9,8.3,Yes,Yes,No,Yes,1184
Samsung,Samsung X95,172,4.3,509,5759,69,No,Yes,Yes,Lidar+Camera,Yes,Yes,Yes,Yes,No,18,3.6,8.3,Yes,Yes,No,No,264
Ecovacs,Ecovacs X24 Max,73,3.7,487,3982,66,No,No,Yes,Lidar+Camera,Yes,No,No,Yes,No,20,4.6,9.4,No,No,No,Yes,1143
Proscenic,Proscenic V97 Max,189,5.8,572,1505,65,Yes,No,Yes,Camera,No,Yes,Yes,Yes,No,12,5.0,9.2,No,Yes,No,No,621
Ecovacs,Ecovacs S23,163,4.7,445,2172,58,Yes,Yes,No,Lidar,Yes,Yes,No,No,No,18,5.5,10.2,No,No,No,No,912
Roborock,Roborock R39,179,3.4,637,5368,63,Yes,No,Yes,Lidar,Yes,No,No,Yes,No,17,4.2,11.0,Yes,Yes,Yes,Yes,310
LG,LG R50,130,3.6,661,4922,66,Yes,No,Yes,Lidar+Camera,No,No,Yes,Yes,No,11,4.7,8.6,Yes,No,No,No,488
Ecovacs,Ecovacs R86,155,5.3,679,4027,69,Yes,No,No,Lidar+Camera,Yes,No,No,No,No,7,3.5,10.0,No,Yes,Yes,No,944
iRobot,iRobot S77 Max,200,3.3,685,5500,67,Yes,Yes,Yes,Camera,Yes,Yes,No,Yes,No,8,3.6,9.3,Yes,No,No,Yes,819
Ecovacs,Ecovacs R26 Max,136,5.4,352,3663,64,Yes,Yes,No,Infrared,Yes,Yes,Yes,Yes,No,16,2.7,7.2,No,Yes,Yes,No,805
LG,LG R95 Pro,123,4.8,358,4015,67,Yes,No,No,Infrared,No,Yes,Yes,Yes,No,8,4.3,10.3,No,Yes,Yes,No,590
Proscenic,Proscenic S78 Pro,61,2.5,533,5382,70,No,No,Yes,Infrared,No,Yes,Yes,No,Yes,20,3.2,10.2,No,Yes,No,Yes,754
LG,LG R69 Pro,87,4.0,563,4082,57,Yes,Yes,Yes,Camera,No,No,Yes,Yes,Yes,16,4.5,9.7,No,No,Yes,Yes,364
Roborock,Roborock R36 Ultra,132,3.8,604,4795,70,Yes,No,Yes,Infrared,Yes,No,No,Yes,No,15,4.8,10.2,Yes,No,Yes,No,637
LG,LG X34 Pro,107,4.5,389,3272,60,Yes,Yes,Yes,Infrared,Yes,No,Yes,Yes,Yes,11,2.6,8.3,No,No,No,No,1153
iRobot,iRobot R85,198,3.0,603,4677,63,Yes,No,Yes,Infrared,Yes,Yes,Yes,Yes,No,12,2.5,10.0,Yes,No,Yes,No,1193
Roborock,Roborock X8,121,3.0,499,2379,66,Yes,No,No,Camera,No,No,Yes,Yes,Yes,12,4.1,8.4,Yes,No,No,Yes,227
Dreame,Dreame R96 Pro,113,3.8,352,5362,57,No,No,Yes,Lidar,Yes,Yes,Yes,No,Yes,10,4.8,8.0,Yes,No,No,No,778
Dreame,Dreame X92 Pro,73,5.9,570,1737,67,Yes,No,Yes,Infrared,No,No,No,Yes,No,12,2.5,8.6,Yes,No,No,Yes,720
Samsung,Samsung X14,186,2.8,553,2287,66,Yes,No,Yes,Lidar,Yes,No,Yes,Yes,No,12,4.4,8.1,No,No,Yes,Yes,234
iRobot,iRobot S81 Max,197,5.5,581,2952,67,No,Yes,Yes,Infrared,Yes,Yes,No,No,No,16,3.5,8.7,Yes,Yes,Yes,Yes,307
Ecovacs,Ecovacs V40,184,4.9,586,5681,57,No,No,No,Lidar,No,No,No,Yes,Yes,8,5.0,7.8,Yes,Yes,Yes,Yes,346
Xiaomi,Xiaomi S84 Max,138,4.7,359,3389,58,Yes,No,No,Lidar+Camera,No,No,No,No,No,17,5.4,10.7,Yes,Yes,Yes,No,527
Eufy,Eufy S94,92,4.9,439,4575,61,No,No,No,Infrared,No,Yes,No,Yes,No,14,2.7,7.1,Yes,Yes,Yes,Yes,898
Xiaomi,Xiaomi R41 Max,71,4.6,461,2939,67,Yes,No,No,Lidar,Yes,Yes,No,No,Yes,10,5.4,10.1,No,No,No,Yes,740
Dreame,Dreame X94 Max,104,5.5,365,2178,69,No,Yes,No,Lidar+Camera,No,No,Yes,No,Yes,17,4.7,8.4,No,No,No,Yes,897
LG,LG V69 Max,108,3.7,608,2664,61,Yes,No,Yes,Infrared,No,Yes,Yes,No,No,14,3.0,10.4,Yes,No,No,Yes,400
LG,LG R13 Max,158,4.6,390,2060,62,Yes,Yes,No,Camera,Yes,Yes,No,No,No,15,4.5,9.1,No,No,Yes,No,744
Eufy,Eufy S94 Ultra,180,4.7,506,3648,56,Yes,No,Yes,Infrared,No,No,Yes,No,Yes,14,4.2,8.7,No,No,No,No,704
Samsung,Samsung R33 Pro,100,4.1,582,4298,63,No,No,Yes,Infrared,No,No,No,Yes,Yes,10,4.3,8.3,No,No,No,Yes,315
Ecovacs,Ecovacs V9 Pro,142,5.2,620,5841,56,Yes,No,No,Lidar,No,Yes,No,Yes,No,12,2.8,7.1,No,Yes,No,No,682
LG,LG S62,192,5.1,465,1672,70,Yes,Yes,Yes,Lidar+Camera,No,No,Yes,Yes,No,12,5.4,7.3,Yes,Yes,Yes,No,651
LG,LG X61 Max,157,5.5,651,1887,65,No,Yes,Yes,Lidar+Camera,Yes,No,No,No,No,17,3.2,9.7,Yes,No,Yes,Yes,346
iRobot,iRobot S76,69,5.3,430,5055,67,No,No,Yes,Lidar+Camera,No,Yes,Yes,No,Yes,8,2.6,7.8,No,No,Yes,Yes,1028
Samsung,Samsung S32 Pro,117,3.4,375,4154,60,No,No,No,Camera,Yes,No,Yes,Yes,No,18,4.1,9.1,Yes,Yes,No,No,997
Neato,Neato V41 Ultra,67,2.6,614,4048,56,No,Yes,Yes,Lidar+Camera,Yes,No,Yes,No,Yes,19,3.4,7.4,Yes,No,No,Yes,607
Proscenic,Proscenic R83 Ultra,115,3.1,691,5970,55,No,No,Yes,Camera,No,Yes,No,Yes,No,18,4.0,7.9,No,No,No,No,493
Dreame,Dreame S31 Max,196,3.7,543,2137,63,No,Yes,No,Camera,Yes,No,Yes,No,Yes,6,5.2,9.9,Yes,Yes,Yes,Yes,461
Samsung,Samsung R34 Max,143,5.7,464,2979,68,Yes,No,Yes,Lidar+Camera,Yes,No,No,No,No,19,5.4,7.2,Yes,No,No,Yes,483
Proscenic,Proscenic S99,126,3.8,592,5695,57,No,No,No,Lidar+Camera,Yes,Yes,Yes,Yes,No,13,3.9,10.1,Yes,No,Yes,Yes,837
LG,LG X35,62,4.1,642,2267,64,No,No,Yes,Camera,No,Yes,Yes,Yes,No,16,2.9,9.5,No,Yes,Yes,Yes,1083
Roborock,Roborock S70 Max,159,4.6,392,5315,62,Yes,No,No,Infrared,Yes,Yes,No,No,Yes,19,5.0,9.9,Yes,No,No,No,280
Roborock,Roborock S99 Max,68,3.1,436,3607,55,Yes,No,No,Lidar,Yes,Yes,Yes,No,Yes,12,4.1,9.6,Yes,Yes,Yes,No,479
Eufy,Eufy X13 Pro,196,3.9,410,5031,56,Yes,No,Yes,Lidar,Yes,Yes,Yes,No,Yes,10,3.8,10.0,Yes,Yes,No,No,628
iRobot,iRobot R40 Max,104,5.4,425,4156,70,Yes,No,No,Lidar+Camera,No,No,No,Yes,Yes,13,3.3,9.2,No,No,No,Yes,823
Proscenic,Proscenic R90 Max,89,2.8,541,5711,60,No,Yes,No,Lidar+Camera,Yes,Yes,No,Yes,Yes,16,3.7,10.3,No,Yes,No,Yes,599
Proscenic,Proscenic R20 Max,151,3.1,534,3634,62,Yes,No,Yes,Lidar+Camera,No,Yes,No,Yes,No,7,5.0,8.0,No,Yes,Yes,Yes,829
Xiaomi,Xiaomi X95,190,3.5,610,4216,67,Yes,No,No,Lidar+Camera,Yes,No,No,Yes,Yes,18,4.1,8.5,Yes,No,No,Yes,280
Xiaomi,Xiaomi X80 Pro,109,3.5,700,1946,57,Yes,No,Yes,Infrared,Yes,No,No,No,Yes,10,2.8,9.9,Yes,Yes,Yes,Yes,749
Neato,Neato S82 Pro,123,4.7,627,1789,60,No,No,No,Lidar+Camera,Yes,Yes,No,Yes,Yes,16,4.8,7.5,No,Yes,Yes,Yes,850
Eufy,Eufy V43 Ultra,137,2.8,497,3887,62,Yes,No,Yes,Lidar,No,Yes,Yes,Yes,Yes,12,3.4,8.7,Yes,No,Yes,Yes,866
Roborock,Roborock X38,69,5.9,554,5170,58,No,Yes,Yes,Infrared,Yes,Yes,Yes,Yes,Yes,8,4.0,9.7,Yes,No,Yes,Yes,800
Proscenic,Proscenic X66 Pro,78,5.8,577,5880,57,Yes,No,Yes,Infrared,No,Yes,No,No,No,8,5.0,8.5,Yes,Yes,No,No,893
Eufy,Eufy S28 Pro,126,5.1,428,4899,68,Yes,Yes,Yes,Infrared,Yes,No,No,Yes,Yes,13,4.1,10.3,No,No,Yes,Yes,619
Neato,Neato R64 Ultra,145,2.6,653,1948,65,Yes,Yes,Yes,Infrared,No,Yes,No,Yes,No,13,3.4,7.3,Yes,No,No,No,1155
Samsung,Samsung S16 Ultra,65,2.8,541,5660,58,No,No,No,Lidar,No,Yes,No,No,Yes,8,2.7,7.1,Yes,Yes,No,No,551
iRobot,iRobot X33,91,5.5,355,1555,68,Yes,No,No,Camera,No,No,Yes,Yes,No,19,3.4,8.9,No,No,No,No,1073
Eufy,Eufy X34,118,5.1,391,3550,56,No,No,Yes,Lidar+Camera,Yes,Yes,Yes,Yes,Yes,6,5.3,8.7,Yes,Yes,No,Yes,1046
Xiaomi,Xiaomi S21 Pro,172,4.7,599,2146,56,Yes,No,Yes,Infrared,No,Yes,Yes,No,Yes,16,4.0,7.7,Yes,Yes,No,Yes,842
Dreame,Dreame R28 Max,175,3.8,657,2879,65,Yes,No,No,Lidar+Camera,No,Yes,No,Yes,No,18,4.4,8.5,No,No,No,Yes,1181
iRobot,iRobot X35,188,5.4,551,2550,69,No,Yes,Yes,Camera,No,No,No,No,Yes,8,4.2,9.2,No,No,Yes,Yes,1003
Neato,Neato V18 Max,88,2.6,474,5957,64,Yes,No,No,Lidar,No,No,Yes,Yes,No,16,2.6,8.2,No,Yes,Yes,Yes,755
Xiaomi,Xiaomi R65 Ultra,146,4.2,677,3681,60,Yes,Yes,No,Infrared,Yes,No,No,No,Yes,12,3.7,9.4,Yes,Yes,No,No,695
Proscenic,Proscenic X79,197,2.9,623,4721,64,Yes,No,Yes,Camera,Yes,No,No,Yes,Yes,8,4.2,8.8,Yes,No,Yes,No,906
Samsung,Samsung S87 Ultra,179,3.6,672,4165,66,No,No,Yes,Lidar,No,Yes,Yes,Yes,No,12,3.2,10.3,Yes,No,Yes,Yes,289
Neato,Neato S23 Max,197,3.9,589,3629,69,Yes,No,Yes,Infrared,No,No,Yes,Yes,Yes,13,3.6,10.7,Yes,Yes,No,No,594
Eufy,Eufy R38 Max,71,4.3,659,1905,56,No,Yes,Yes,Lidar,No,Yes,Yes,No,Yes,11,3.1,7.2,No,No,No,No,872
Proscenic,Proscenic S23 Ultra,131,3.0,479,1813,55,Yes,Yes,Yes,Camera,Yes,No,No,Yes,No,6,4.8,8.0,No,No,No,No,159
iRobot,iRobot R41,168,5.9,550,5889,68,Yes,Yes,Yes,Lidar,Yes,No,No,Yes,Yes,6,3.8,9.5,No,Yes,Yes,Yes,623
Roborock,Roborock R50,75,5.0,572,2839,60,No,No,Yes,Infrared,No,Yes,No,Yes,No,13,3.7,10.7,No,No,No,No,182
Eufy,Eufy X25 Pro,136,3.9,588,4079,67,Yes,No,Yes,Lidar,Yes,Yes,No,Yes,No,14,3.9,8.6,No,Yes,No,No,725
Dreame,Dreame R15 Pro,93,3.8,366,5721,65,Yes,Yes,No,Infrared,No,Yes,No,No,No,7,4.3,10.9,No,Yes,Yes,Yes,270
Eufy,Eufy X26 Pro,151,2.9,625,4653,58,No,No,No,Camera,Yes,No,Yes,Yes,No,7,3.6,7.6,Yes,No,No,No,1094
Roborock,Roborock R82,132,5.3,643,1736,56,Yes,No,No,Camera,No,No,Yes,Yes,No,17,4.1,7.2,No,Yes,Yes,No,660
Proscenic,Proscenic R87 Pro,152,5.1,564,5535,60,Yes,Yes,No,Infrared,No,No,No,Yes,Yes,11,5.0,11.0,Yes,No,No,Yes,236
Samsung,Samsung V7 Max,87,4.8,417,3459,55,No,No,Yes,Lidar+Camera,Yes,No,No,No,Yes,12,3.1,9.2,Yes,No,Yes,Yes,1037
Dreame,Dreame S21,178,3.5,559,2410,64,Yes,Yes,Yes,Lidar,Yes,Yes,Yes,No,Yes,9,2.8,7.6,No,No,Yes,No,814
Ecovacs,Ecovacs S83,198,2.9,463,4670,68,No,Yes,No,Lidar,No,Yes,No,No,Yes,12,4.3,8.8,Yes,No,No,No,630
Eufy,Eufy X10 Ultra,147,5.7,579,5549,66,No,No,Yes,Infrared,Yes,No,No,No,No,14,2.9,9.3,No,No,No,Yes,244
Proscenic,Proscenic S51 Max,168,4.9,424,4291,61,No,Yes,Yes,Lidar+Camera,Yes,Yes,Yes,Yes,Yes,16,3.2,8.0,Yes,Yes,No,Yes,518
iRobot,iRobot V10 Pro,153,5.3,496,3978,70,No,Yes,Yes,Lidar,No,No,Yes,No,No,12,3.6,8.6,No,No,No,Yes,752
LG,LG R27,174,2.9,363,5267,67,Yes,Yes,Yes,Lidar,Yes,Yes,No,Yes,Yes,6,5.1,8.7,Yes,Yes,Yes,No,481
Neato,Neato R77 Pro,82,3.6,522,2909,64,No,No,Yes,Lidar,Yes,Yes,Yes,Yes,No,7,4.6,8.1,Yes,No,No,Yes,268
Samsung,Samsung V40 Max,98,2.9,548,4449,61,No,Yes,No,Infrared,Yes,No,Yes,No,Yes,12,3.7,8.6,No,Yes,Yes,No,845
Neato,Neato R84 Pro,154,3.9,533,5276,68,Yes,Yes,No,Lidar,Yes,Yes,No,Yes,No,6,5.5,10.5,No,Yes,No,Yes,410
Roborock,Roborock S95 Max,134,4.1,661,1570,61,Yes,Yes,Yes,Camera,Yes,No,No,Yes,Yes,15,4.4,7.4,Yes,No,No,Yes,319
Roborock,Roborock S74 Ultra,190,5.6,395,5973,55,Yes,No,Yes,Infrared,Yes,Yes,No,No,Yes,18,4.8,10.2,No,Yes,No,No,639
Ecovacs,Ecovacs X61 Pro,125,4.1,588,5049,67,No,Yes,No,Lidar,Yes,Yes,No,No,No,15,4.8,10.4,Yes,Yes,No,Yes,1097
Eufy,Eufy S73 Max,61,5.0,386,2408,58,No,Yes,No,Lidar+Camera,No,Yes,Yes,No,No,15,4.8,9.8,Yes,No,No,No,757
Proscenic,Proscenic R5 Max,141,4.0,552,5173,68,Yes,No,Yes,Camera,Yes,No,Yes,No,Yes,6,4.9,9.4,Yes,Yes,No,Yes,1106
Eufy,Eufy X71 Ultra,68,3.5,379,4925,67,No,No,Yes,Camera,No,Yes,Yes,Yes,Yes,14,2.8,8.5,Yes,No,No,Yes,1110
Dreame,Dreame S40 Max,88,6.0,682,5729,70,No,No,Yes,Lidar+Camera,No,Yes,No,No,Yes,11,5.3,10.6,Yes,No,Yes,Yes,635
LG,LG S94 Pro,74,5.8,636,1962,60,Yes,No,Yes,Camera,Yes,No,Yes,Yes,No,18,2.7,10.2,No,No,Yes,No,938
Proscenic,Proscenic V40 Max,170,2.6,518,2640,57,No,No,No,Lidar,No,Yes,Yes,No,No,16,3.5,10.8,Yes,No,Yes,No,679
iRobot,iRobot V68,186,5.3,645,5405,67,Yes,No,Yes,Camera,Yes,Yes,No,Yes,Yes,14,5.5,8.7,Yes,Yes,No,No,992
Neato,Neato S86 Ultra,180,5.0,406,5707,65,Yes,Yes,No,Lidar+Camera,Yes,No,No,Yes,Yes,19,2.9,10.3,No,Yes,No,Yes,484
Samsung,Samsung S58 Max,118,5.0,558,3672,62,No,Yes,Yes,Lidar+Camera,No,No,No,Yes,Yes,20,4.9,9.9,Yes,No,No,No,711
Proscenic,Proscenic R5 Pro,179,5.1,684,4849,57,Yes,Yes,No,Lidar+Camera,No,No,No,Yes,Yes,20,5.3,7.0,No,No,No,Yes,224
Ecovacs,Ecovacs V80 Max,170,4.2,553,3455,56,Yes,Yes,Yes,Camera,No,No,No,Yes,No,20,5.0,8.9,No,Yes,Yes,No,169
Samsung,Samsung V46,194,2.8,642,3888,58,No,Yes,Yes,Lidar+Camera,No,No,No,Yes,Yes,15,4.4,10.7,No,No,Yes,Yes,340
Proscenic,Proscenic R49 Max,60,3.3,508,4142,62,Yes,Yes,Yes,Infrared,No,No,Yes,No,Yes,17,2.9,7.4,No,No,No,No,725
Xiaomi,Xiaomi S39 Max,155,5.8,437,5997,67,Yes,No,Yes,Camera,Yes,Yes,No,No,No,12,4.2,8.9,Yes,No,Yes,Yes,1129
Neato,Neato V5 Ultra,66,3.7,434,5011,70,Yes,No,No,Infrared,No,Yes,No,Yes,No,11,5.4,8.2,Yes,Yes,No,Yes,585
Dreame,Dreame S42,150,3.5,445,5646,55,No,Yes,No,Camera,No,No,Yes,No,Yes,9,2.6,9.9,Yes,Yes,Yes,No,770
Ecovacs,Ecovacs X33,166,3.9,450,5925,59,No,No,No,Lidar,Yes,Yes,Yes,Yes,No,18,3.8,9.5,Yes,Yes,No,No,1112
Xiaomi,Xiaomi R66 Ultra,83,4.6,473,1917,59,No,Yes,No,Lidar,Yes,Yes,Yes,No,No,16,5.0,10.7,Yes,Yes,No,No,577
Ecovacs,Ecovacs R73 Ultra,126,2.9,399,2392,65,Yes,Yes,No,Lidar+Camera,Yes,No,No,Yes,Yes,16,3.2,8.4,Yes,No,Yes,No,481
Roborock,Roborock X91,103,4.4,422,4642,60,Yes,No,Yes,Lidar,No,Yes,No,No,No,6,4.1,7.9,Yes,Yes,Yes,Yes,243
Eufy,Eufy R90,182,4.2,601,1518,55,Yes,Yes,Yes,Infrared,Yes,Yes,Yes,No,Yes,20,2.5,10.0,Yes,No,Yes,Yes,961
iRobot,iRobot R79,130,4.4,492,3839,61,No,Yes,No,Infrared,Yes,Yes,Yes,No,No,10,4.0,10.4,Yes,No,No,Yes,548
Roborock,Roborock V7 Pro,123,4.9,638,4849,57,Yes,No,Yes,Lidar,No,Yes,No,Yes,Yes,10,4.7,8.2,No,No,Yes,No,1021
Dreame,Dreame R96 Pro,105,3.5,491,4367,70,Yes,Yes,No,Lidar,Yes,No,Yes,No,Yes,14,3.0,8.3,No,Yes,Yes,Yes,366
Roborock,Roborock X12 Ultra,103,4.4,572,3837,57,No,No,No,Lidar,Yes,No,No,No,Yes,15,3.5,8.3,Yes,No,No,Yes,223
Ecovacs,Ecovacs V66 Ultra,200,5.7,667,3088,58,No,Yes,No,Infrared,No,No,Yes,No,Yes,10,2.7,7.4,Yes,Yes,No,No,1029
Roborock,Roborock S24 Ultra,86,3.0,625,5500,70,No,No,No,Camera,Yes,Yes,No,No,No,19,3.3,10.8,No,Yes,No,Yes,1132
Dreame,Dreame X11,109,5.9,545,4237,55,Yes,Yes,No,Camera,Yes,Yes,Yes,No,Yes,20,5.2,8.2,Yes,Yes,Yes,No,589
Dreame,Dreame V70,69,3.9,467,5043,68,Yes,Yes,Yes,Infrared,Yes,No,No,Yes,Yes,12,5.0,8.9,No,No,Yes,Yes,306
Samsung,Samsung V46 Max,105,5.3,408,2023,57,No,No,Yes,Lidar,Yes,No,No,Yes,Yes,14,4.1,8.2,No,Yes,Yes,Yes,1192
Proscenic,Proscenic S67,130,4.7,641,3174,65,No,Yes,No,Camera,No,No,Yes,Yes,Yes,13,3.4,8.1,No,Yes,No,No,728
LG,LG X69 Max,99,4.7,677,3988,60,No,No,Yes,Lidar,No,No,Yes,Yes,No,13,5.0,8.8,Yes,Yes,No,No,985
Proscenic,Proscenic R32 Max,91,5.5,464,3424,69,No,Yes,Yes,Lidar+Camera,No,No,No,Yes,Yes,7,5.3,9.3,Yes,No,No,No,159
iRobot,iRobot V91,125,2.5,557,3643,60,No,Yes,No,Lidar,No,Yes,No,Yes,Yes,18,3.0,8.4,No,No,Yes,No,1066
Xiaomi,Xiaomi X57,144,3.1,593,5359,61,Yes,Yes,No,Lidar,No,Yes,No,No,Yes,14,4.9,10.3,Yes,Yes,Yes,No,757
Eufy,Eufy X88 Ultra,108,3.8,646,3099,65,No,No,No,Lidar+Camera,No,No,Yes,No,Yes,11,3.2,7.5,Yes,Yes,Yes,Yes,470
Proscenic,Proscenic X19 Pro,85,3.5,623,5189,57,Yes,Yes,Yes,Lidar,Yes,Yes,No,Yes,No,16,4.2,7.3,Yes,No,Yes,No,287
Ecovacs,Ecovacs X89 Pro,168,4.8,428,4512,67,No,Yes,Yes,Camera,No,Yes,No,Yes,No,10,2.6,8.5,Yes,Yes,No,Yes,219
iRobot,iRobot R11 Ultra,64,3.9,426,4603,65,Yes,Yes,Yes,Lidar,Yes,No,No,No,No,11,3.5,9.2,No,No,Yes,Yes,227
Neato,Neato R6 Ultra,88,2.6,677,4115,62,No,No,Yes,Lidar,Yes,Yes,Yes,No,No,10,3.5,8.5,No,No,No,No,239
LG,LG S44 Max,80,3.4,610,5881,55,No,No,No,Lidar,No,Yes,No,Yes,Yes,18,2.7,10.6,Yes,Yes,Yes,Yes,565
Xiaomi,Xiaomi R27 Pro,116,5.2,608,3418,63,No,No,No,Lidar+Camera,No,Yes,No,Yes,No,20,3.1,8.7,Yes,Yes,Yes,Yes,336
Samsung,Samsung R44 Ultra,154,4.6,526,3030,58,No,Yes,Yes,Camera,No,Yes,Yes,Yes,Yes,6,3.3,8.5,Yes,Yes,Yes,No,1098
Dreame,Dreame R64,65,3.5,512,5886,61,No,No,No,Camera,No,Yes,Yes,No,No,20,2.7,10.3,No,No,No,No,888
Proscenic,Proscenic R57 Max,145,4.0,679,4841,63,No,Yes,No,Lidar,Yes,No,No,No,Yes,19,4.9,9.5,Yes,No,Yes,No,656
Samsung,Samsung S25,173,5.5,402,4704,62,Yes,No,No,Lidar,No,No,Yes,No,Yes,12,4.7,8.4,Yes,No,No,No,404
Proscenic,Proscenic V96 Max,112,2.9,447,4555,70,Yes,No,Yes,Infrared,Yes,Yes,No,No,No,14,5.0,10.1,Yes,No,No,Yes,259
Ecovacs,Ecovacs S29 Ultra,174,4.1,662,4241,66,No,Yes,Yes,Lidar+Camera,Yes,Yes,Yes,No,Yes,8,5.0,10.4,No,No,Yes,Yes,1120
